,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,G/GP,A/GP,YearBorn,age,BMI,Adjusted +/-,PIM/GP,iFF/GP,iSF/GP,ixG/GP,iSCF/GP,Pass/GP,iHF/GP,iHA/GP,iMiss/GP,iGVA/GP,iTKA/GP,iBLK/GP,iPEND/GP,iPENT/GP,SCF/GP,SCA/GP,GF/GP,GA/GP,Player Value,Difference in valuation
383,1100000,89-07-12,Ottawa,ON,CAN,CAN,73,216,2008.0,5.0,139.0,L,Borowiecki,Mark,D,OTT,70,1,2,2,0,3,-3,3.0,154,1559,58845,980.7,14.02,14.01,25.7,12.5,5.4,0.921,975.0,1.47,2.32,38.7,-14,-0.86,115.0,115,74.0,50.0,50,50,1.9,3.0,4.0,11.0,15.0,48.0,49.5,75.2,364,364.0,137.0,227.0,24,18,6,90,18.0,6.0,90.0,9.4,1,0,1.0,0.0,100.0,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,0,0,16,6,0,0,28,48,20,44.0,16.0,-28,-19.4,32,14,0,2,0,848.0,960.0,604.0,680.0,443.0,479.0,34.6,37.4,116.0,109.0,24.0,38.0,38.0,39.0,54.0,42.0,92,81,446.0,460.0,703.0,443.0,147.0,109.0,91.0,63.0,-0.8,2.0,1.3,2828.65,622,11.6,110.6,2.9,0.04,0.014285714285714285,0.02857142857142857,1989,33,7426204.5024000015,-6.0,2.2,1.0571428571428572,0.7142857142857143,0.027142857142857142,0.04285714285714286,1.0742857142857143,5.2,1.957142857142857,0.34285714285714286,0.2571428571428571,0.08571428571428572,1.2857142857142858,0.22857142857142856,0.6285714285714286,1.6571428571428573,1.5571428571428572,0.34285714285714286,0.5428571428571428,1745460.150600935,645460.1506009351
384,925000,97-03-07,Mississauga,ON,CAN,CAN,75,185,2015.0,1.0,3.0,L,Strome,Dylan,C,ARI,7,0,1,1,0,1,-5,-2.6,0,130,5747,95.6,13.68,13.68,24.9,50.0,3.7,0.891,928.0,1.25,4.39,22.2,-5,-3.14,16.0,16,12.0,6.0,6,6,0.7,2.0,0.0,2.0,2.0,30.5,33.2,38.3,3,3.0,2.0,1.0,6,0,3,2,0.0,3.0,2.0,2.0,31,46,31.0,46.0,40.3,95.1,6,5,15,15,10,26,3,7,12,23,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,5,0,1,1.0,1.0,1,1.2,0,0,0,0,0,93.0,102.0,72.0,85.0,54.0,64.0,4.0,5.4,12.0,21.0,2.0,7.0,5.0,7.0,4.0,3.0,9,10,33.0,48.0,40.0,30.0,12.0,8.0,10.0,6.0,-0.2,-0.1,-0.3,288.33,5,0.0,122.4,-0.3,-0.04,0.0,0.14285714285714285,1997,25,6713696.25,-2.4,0.0,1.7142857142857142,0.8571428571428571,0.09999999999999999,0.2857142857142857,5.471428571428571,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.7142857142857142,3.0,0.2857142857142857,1.0,905346.8337280285,-19653.16627197154
385,600000,85-07-15,Prince Albert,SK,CAN,CAN,75,220,2004.0,9.0,279.0,R,Cracknell,Adam,RW/C,DAL,69,10,6,3,3,16,9,0.3,12,1091,43305,722.0,10.47,10.46,19.8,57.1,8.0,0.928,1008.0,2.33,1.99,53.8,4,0.33,170.0,170,127.0,87.0,87,87,8.2,28.0,6.0,6.0,12.0,29.8,26.7,77.3,91,91.0,52.0,39.0,40,16,19,37,16.0,19.0,37.0,5.3,135,160,135.0,160.0,45.8,47.8,39,59,58,46,38,55,34,37,48,70,88,99,0,2,2,0,0,0,2,0,1,0,1,0,6,1,6,4,29,16,1,6,16,3,0,45,5,16,6.0,11.0,11,4.0,5,0,0,0,0,698.0,701.0,514.0,493.0,352.0,334.0,29.8,29.7,92.0,104.0,28.0,24.0,23.0,21.0,36.0,29.0,59,50,297.0,320.0,319.0,254.0,106.0,69.0,42.0,56.0,0.9,1.1,1.9,2917.09,140,22.0,116.3,22.3,0.32,0.14492753623188406,0.08695652173913043,1985,37,7983855.0,8.7,0.17391304347826086,1.8405797101449275,1.2608695652173914,0.11884057971014492,0.4057971014492754,1.1202898550724638,1.318840579710145,0.7536231884057971,0.5797101449275363,0.2318840579710145,0.2753623188405797,0.5362318840579711,0.15942028985507245,0.08695652173913043,1.3333333333333333,1.5072463768115942,0.4057971014492754,0.34782608695652173,896100.0247598992,296100.02475989924
386,4000000,89-02-21,Woodstock,ON,CAN,CAN,75,216,2007.0,5.0,141.0,L,Muzzin,Jake,D,L.A,82,9,19,9,10,28,-21,4.8,46,2472,109688,1820.6,22.3,22.27,37.1,39.4,7.3,0.891,964.0,2.34,2.7,46.4,-11,-0.36,388.0,386,259.0,184.0,184,184,8.5,11.0,9.0,18.0,27.0,51.8,48.0,196.5,162,162.0,167.0,-5.0,75,70,15,122,70.0,15.0,122.0,8.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,5,0,0,0,3,1,2,5,67,1,1,75,20,0,0,87,22,15,22.0,13.0,-7,-0.4,22,0,0,0,0,1934.0,1507.0,1427.0,1115.0,968.0,752.0,89.2,71.4,308.0,235.0,71.0,82.0,85.0,50.0,95.0,93.0,180,143,953.0,890.0,792.0,742.0,273.0,115.0,90.0,89.0,1.8,3.6,5.4,3084.88,330,8.0,113.4,49.0,0.6,0.10975609756097561,0.23170731707317074,1989,33,7838694.0,-25.8,0.5609756097560976,3.158536585365854,2.2439024390243905,0.10365853658536585,0.13414634146341464,2.3963414634146343,1.975609756097561,2.0365853658536586,0.9146341463414634,0.8536585365853658,0.18292682926829268,1.4878048780487805,0.15853658536585366,0.2682926829268293,3.7560975609756095,2.8658536585365852,0.8658536585365854,1.0,4136770.1123258783,136770.11232587835
387,1800000,85-03-06,Toronto,ON,CAN,CAN,74,206,2004.0,9.0,265.0,L,Winnik,Daniel,LW/C,WSH,72,12,13,10,3,25,15,-0.8,49,1284,55793,927.6,12.92,12.9,23.3,78.1,8.8,0.923,1011.0,2.07,2.13,49.2,-1,-0.06,133.0,133,115.0,82.0,82,82,8.3,28.0,8.0,4.0,12.0,35.7,28.2,183.2,25,25.0,84.0,-59.0,33,30,30,34,30.0,30.0,34.0,3.9,9,12,9.0,12.0,42.9,2.3,0,3,2,2,7,7,2,4,2,6,7,5,0,4,3,1,0,0,2,1,0,1,1,0,7,0,2,3,28,10,2,5,7,6,0,52,16,17,15.0,17.0,1,2.7,12,3,0,1,0,665.0,863.0,499.0,632.0,365.0,431.0,29.5,44.5,97.0,159.0,32.0,33.0,28.0,34.0,32.0,48.0,60,82,508.0,406.0,398.0,401.0,146.0,113.0,65.0,67.0,1.4,1.5,3.0,3060.9,111,4.6,98.8,27.6,0.38,0.16666666666666666,0.18055555555555555,1985,37,7277766.0896000005,15.8,0.6805555555555556,1.5972222222222223,1.1388888888888888,0.11527777777777778,0.3888888888888889,2.5444444444444443,0.3472222222222222,1.1666666666666667,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4722222222222222,0.2361111111111111,0.20833333333333334,1.3472222222222223,2.2083333333333335,0.4444444444444444,0.4583333333333333,1863215.546769228,63215.546769228065
390,742500,94-01-23,Syracuse,NY,USA,USA,75,219,2012.0,2.0,59.0,L,Nieves,Cristoval,C/LW,NYR,1,0,0,0,0,0,-1,-1.0,0,17,704,11.7,11.73,11.73,23.4,0.0,25.0,0.889,1139.0,5.12,5.12,50.0,0,0.0,1.0,1,1.0,0.0,0,0,0.1,1.0,0.0,1.0,1.0,0.0,34.4,0.0,0,0.0,1.0,-1.0,1,0,0,1,0.0,0.0,1.0,6.3,3,7,3.0,7.0,30.0,76.9,0,1,2,5,1,1,3,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,8.0,16.0,5.0,11.0,4.0,9.0,0.2,0.8,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,2,2,6.0,7.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.1,38.49,1,0.0,122.8,-0.6,-0.59,0.0,0.0,1994,28,7947564.75,0.0,0.0,1.0,0.0,0.1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,806305.2193792032,63805.21937920316
391,1500000,91-01-24,Windsor,ON,CAN,CAN,75,207,2009.0,1.0,13.0,R,Kassian,Zack,RW,EDM,79,7,17,8,9,24,4,-1.5,101,1412,58315,971.0,12.3,12.3,22.5,64.9,8.7,0.919,1006.0,2.29,2.6,46.8,-5,-0.31,164.0,164,138.0,111.0,110,110,10.7,39.0,10.0,10.0,20.0,28.3,25.2,155.2,201,201.0,63.0,138.0,27,39,21,16,39.0,21.0,16.0,1.7,4,7,4.0,7.0,36.4,1.2,1,1,1,2,2,4,2,1,0,2,3,6,0,1,0,0,0,0,3,0,1,1,1,0,1,0,1,1,25,18,1,12,22,10,8,39,32,9,26.0,10.0,-23,-16.1,23,7,1,1,0,753.0,940.0,563.0,686.0,425.0,516.0,33.8,50.3,115.0,169.0,37.0,42.0,27.0,49.0,44.0,53.0,71,102,477.0,453.0,540.0,336.0,191.0,118.0,72.0,51.0,0.8,1.2,2.0,3344.08,325,9.7,104.6,20.4,0.26,0.08860759493670886,0.21518987341772153,1991,31,7512081.75,5.5,1.2784810126582278,1.7468354430379747,1.4050632911392404,0.13544303797468354,0.4936708860759494,1.9645569620253163,2.5443037974683542,0.7974683544303798,0.34177215189873417,0.4936708860759494,0.26582278481012656,0.20253164556962025,0.12658227848101267,0.3291139240506329,1.4556962025316456,2.1392405063291138,0.46835443037974683,0.5316455696202531,1797804.3394418694,297804.3394418694
393,832500,95-04-05,London,ON,CAN,CAN,72,223,2013.0,1.0,9.0,L,Horvat,Bo,C,VAN,81,20,32,22,10,52,-7,-2.3,27,2056,87636,1458.3,18.03,18.02,30.0,76.5,10.1,0.895,996.0,2.8,3.5,44.4,-17,-0.7,286.0,286,236.0,158.0,158,158,20.2,78.0,15.0,18.0,33.0,24.2,23.7,366.0,65,65.0,72.0,-7.0,78,27,37,41,27.0,37.0,41.0,2.9,756,742,756.0,742.0,50.5,96.3,269,286,239,224,248,232,265,274,227,222,445,450,0,4,1,1,0,0,3,2,0,0,2,0,13,0,4,7,67,22,7,3,8,4,4,110,12,17,11.0,13.0,5,3.7,11,1,0,0,0,1262.0,1436.0,939.0,1098.0,676.0,813.0,64.0,75.5,232.0,256.0,68.0,85.0,48.0,47.0,49.0,57.0,97,104,787.0,769.0,383.0,468.0,184.0,157.0,69.0,62.0,4.0,1.7,5.7,3398.59,134,9.3,111.0,46.1,0.57,0.24691358024691357,0.3950617283950617,1995,27,7458256.051200001,-4.7,0.3333333333333333,2.9135802469135803,1.9506172839506173,0.2493827160493827,0.9629629629629629,4.518518518518518,0.8024691358024691,0.8888888888888888,0.9629629629629629,0.3333333333333333,0.4567901234567901,0.5061728395061729,0.16049382716049382,0.13580246913580246,2.8641975308641974,3.1604938271604937,0.8395061728395061,1.0493827160493827,1304111.075836752,471611.0758367521
394,575000,88-09-24,Boston,MA,USA,USA,73,198,2007.0,5.0,135.0,L,Carey,Paul,C,WSH,6,0,0,0,0,0,-2,-1.0,0,82,3773,62.8,10.48,10.48,20.4,0.0,0.0,0.917,917.0,0.0,1.91,0.0,-2,-1.91,16.0,15,10.0,8.0,8,8,0.7,2.0,0.0,1.0,1.0,48.1,31.9,0.0,5,5.0,2.0,3.0,2,4,5,1,4.0,5.0,1.0,1.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,5,0,0,0.0,0.0,0,0.0,0,0,0,0,0,56.0,54.0,41.0,36.0,26.0,24.0,1.8,2.5,4.0,12.0,0.0,2.0,1.0,3.0,4.0,6.0,5,9,15.0,23.0,17.0,27.0,21.0,10.0,2.0,2.0,-0.2,0.0,-0.2,245.7,6,0.0,105.0,0.4,0.06,0.0,0.0,1988,34,6807354.127200001,-1.0,0.0,1.6666666666666667,1.3333333333333333,0.11666666666666665,0.3333333333333333,0.0,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.0,0.6666666666666666,2.0,0.0,0.3333333333333333,628071.5134176606,53071.51341766061
397,725000,96-12-14,Joliette,QC,CAN,CAN,75,204,2015.0,2.0,39.0,L,Greer,A.J.,LW,COL,5,0,1,0,1,1,-2,0.0,4,102,4097,68.3,13.65,13.66,25.8,100.0,2.9,0.906,935.0,0.88,2.64,25.0,-2,-1.76,10.0,10,9.0,7.0,8,8,0.9,5.0,0.0,1.0,1.0,18.8,24.5,0.0,4,4.0,6.0,-2.0,2,2,1,3,2.0,1.0,3.0,5.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,3,2,2,2.0,1.0,0,-1.0,2,0,0,0,0,65.0,57.0,50.0,38.0,35.0,32.0,3.2,1.5,13.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,6,3,50.0,42.0,21.0,19.0,9.0,10.0,2.0,4.0,-0.1,0.0,-0.1,196.93,11,2.5,107.2,1.0,0.2,0.0,0.2,1996,26,7403211.0,-2.0,0.8,1.8,1.4,0.18,1.0,0.0,0.8,1.2,0.4,0.4,0.2,0.6,0.2,0.4,2.6,0.8,0.2,0.6,750443.3048579162,25443.3048579162
401,800000,92-04-20,Winnipeg,MB,CAN,CAN,77,236,2010.0,1.0,10.0,R,McIlrath,Dylan,D,FLA/NYR,6,1,0,0,0,1,-2,-1.7,14,76,3426,57.2,9.52,9.52,19.1,100.0,6.7,0.897,963.0,1.05,3.15,25.0,-2,-2.1,11.0,11,6.0,3.0,3,3,0.1,0.0,0.0,0.0,0.0,55.3,49.0,0.0,15,15.0,4.0,11.0,3,3,1,4,3.0,1.0,4.0,7.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,1,4,1,3.0,0.0,-3,-2.7,2,2,0,0,0,38.0,53.0,28.0,43.0,15.0,29.0,1.4,2.7,4.0,9.0,1.0,3.0,0.0,1.0,2.0,3.0,2,4,23.0,29.0,41.0,20.0,6.0,4.0,4.0,4.0,0.1,0.0,0.1,241.92,35,8.0,95.5,-0.3,-0.05,0.16666666666666666,0.0,1992,30,9027362.590400001,-0.30000000000000004,2.3333333333333335,1.0,0.5,0.016666666666666666,0.0,0.0,2.5,0.6666666666666666,0.5,0.5,0.16666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,1.5,0.16666666666666666,0.5,895453.6227581037,95453.62275810365
405,2250000,89-02-08,Calgary,AB,CAN,CAN,72,189,2007.0,1.0,4.0,L,Hickey,Thomas,D,NYI,76,4,16,5,11,20,-1,-3.4,35,1647,79885,1326.1,17.52,17.49,30.1,33.9,9.2,0.908,1000.0,2.67,3.08,46.5,-9,-0.41,199.0,199,130.0,87.0,87,87,5.0,11.0,4.0,6.0,10.0,47.6,41.2,114.2,89,89.0,140.0,-51.0,43,43,16,103,43.0,16.0,103.0,7.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,2,1,1,6,35,5,0,20,10,3,0,49,16,21,15.0,17.0,5,8.2,15,1,0,0,0,1205.0,1442.0,894.0,1055.0,643.0,741.0,56.0,70.0,193.0,252.0,59.0,68.0,37.0,38.0,66.0,62.0,103,100,578.0,650.0,589.0,518.0,199.0,140.0,81.0,70.0,1.0,2.2,3.2,3081.98,228,7.0,119.8,18.8,0.25,0.05263157894736842,0.21052631578947367,1989,33,6321122.8416,2.4,0.4605263157894737,1.7105263157894737,1.144736842105263,0.06578947368421052,0.14473684210526316,1.5026315789473685,1.1710526315789473,1.8421052631578947,0.5657894736842105,0.5657894736842105,0.21052631578947367,1.355263157894737,0.2236842105263158,0.19736842105263158,2.539473684210526,3.3157894736842106,0.7763157894736842,0.8947368421052632,2630064.208741431,380064.2087414311
406,575000,90-03-19,Sudbury,ON,CAN,CAN,73,210,2008.0,2.0,50.0,L,Gaunce,Cameron,D,PIT,12,1,3,3,0,4,1,1.8,13,215,9013,150.3,12.52,12.52,23.8,66.7,7.7,0.921,998.0,2.4,2.4,50.0,0,0.0,17.0,17,14.0,8.0,8,8,0.6,1.0,0.0,0.0,0.0,52.5,39.7,71.3,23,23.0,12.0,11.0,6,5,2,10,5.0,2.0,10.0,6.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,3,0,0,0,5,5,2,5.0,1.0,-3,-3.3,4,1,0,0,0,144.0,156.0,104.0,103.0,78.0,76.0,7.1,6.5,20.0,18.0,6.0,6.0,8.0,8.0,9.0,2.0,17,10,59.0,75.0,96.0,75.0,14.0,15.0,10.0,5.0,0.4,0.3,0.6,481.4,47,6.3,119.8,3.7,0.31,0.08333333333333333,0.25,1990,32,7219921.044000001,-0.8,1.0833333333333333,1.1666666666666667,0.6666666666666666,0.049999999999999996,0.08333333333333333,5.941666666666666,1.9166666666666667,1.0,0.5,0.4166666666666667,0.16666666666666666,0.8333333333333334,0.08333333333333333,0.4166666666666667,1.6666666666666667,1.5,0.5,0.5,660620.238604064,85620.23860406398
407,2500000,83-05-13,Grand Ledge,MI,USA,USA,75,236,2002.0,2.0,44.0,R,Greene,Matt,D,L.A,26,1,1,0,1,2,3,-1.6,19,537,20564,341.9,13.18,13.17,24.4,22.2,6.3,0.962,1024.0,1.58,1.05,60.0,3,0.53,50.0,50,24.0,14.0,14,14,0.5,1.0,1.0,2.0,3.0,69.1,56.2,0.0,71,71.0,34.0,37.0,10,17,3,27,17.0,3.0,27.0,8.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,5,2,0,0,7,8,1,8.0,2.0,-7,-4.5,7,1,0,0,0,294.0,304.0,210.0,215.0,144.0,157.0,11.0,14.1,41.0,46.0,9.0,6.0,8.0,16.0,14.0,13.0,22,29,144.0,156.0,255.0,176.0,50.0,23.0,18.0,21.0,-0.1,1.2,1.2,1061.41,118,10.6,104.9,4.6,0.18,0.038461538461538464,0.038461538461538464,1983,39,8564499.0,4.6,0.7307692307692307,0.9230769230769231,0.5384615384615384,0.019230769230769232,0.038461538461538464,0.0,2.730769230769231,1.3076923076923077,0.38461538461538464,0.6538461538461539,0.11538461538461539,1.0384615384615385,0.07692307692307693,0.3076923076923077,1.5769230769230769,1.7692307692307692,0.34615384615384615,0.23076923076923078,1993359.3209241305,-506640.6790758695
408,817500,97-04-15,Chicago,IL,USA,USA,74,214,2015.0,2.0,32.0,R,Fischer,Christian,RW,ARI,7,3,0,0,0,3,0,-1.2,0,115,5177,86.3,12.33,12.33,23.4,100.0,12.0,0.932,1052.0,2.09,2.09,50.0,0,0.0,15.0,15,12.0,10.0,10,10,0.5,1.0,0.0,0.0,0.0,40.8,33.2,0.0,9,9.0,2.0,7.0,2,3,0,0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,2,0,0,7,0,0,0.0,0.0,0,0.0,0,0,0,0,0,55.0,87.0,37.0,64.0,25.0,44.0,1.9,3.8,4.0,6.0,3.0,3.0,2.0,3.0,0.0,6.0,2,9,47.0,31.0,43.0,27.0,8.0,4.0,3.0,2.0,0.4,0.1,0.5,283.2,9,0.0,98.7,1.5,0.21,0.42857142857142855,0.0,1997,25,7560397.782400001,1.2,0.0,1.7142857142857142,1.4285714285714286,0.07142857142857142,0.14285714285714285,0.0,1.2857142857142858,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.42857142857142855,798478.4766813536,-19021.52331864636
411,2500000,81-03-24,Bolton,CT,USA,USA,75,210,2000.0,1.0,13.0,L,Hainsey,Ron,D,CAR/PIT,72,4,13,8,5,17,-8,-2.1,21,1925,95169,1578.2,22.03,21.99,37.7,33.3,7.4,0.912,986.0,1.94,2.89,40.2,-25,-0.95,186.0,186,109.0,71.0,71,71,3.2,4.0,4.0,13.0,17.0,53.6,47.5,198.1,93,93.0,64.0,29.0,38,47,25,120,47.0,25.0,120.0,7.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,4,34,1,0,21,17,0,0,32,9,6,8.0,4.0,-3,3.7,8,1,0,0,0,1354.0,1607.0,1006.0,1222.0,692.0,868.0,71.5,82.3,254.0,293.0,51.0,76.0,77.0,77.0,81.0,62.0,158,139,778.0,756.0,561.0,529.0,250.0,245.0,60.0,92.0,0.3,2.8,3.2,2604.66,235,14.8,112.6,19.0,0.26,0.05555555555555555,0.18055555555555555,1981,41,7620952.5,-5.9,0.2916666666666667,1.5138888888888888,0.9861111111111112,0.044444444444444446,0.05555555555555555,2.7513888888888887,1.2916666666666667,0.8888888888888888,0.5277777777777778,0.6527777777777778,0.3472222222222222,1.6666666666666667,0.05555555555555555,0.1111111111111111,3.5277777777777777,4.069444444444445,0.7083333333333334,1.0555555555555556,2906085.0543428417,406085.05434284173
412,800000,90-03-23,Montreal,QC,CAN,CAN,73,207,2008.0,6.0,152.0,L,Barberio,Mark,D,COL/MTL,60,2,11,6,5,13,-5,-1.8,14,1330,65740,1092.1,18.27,18.24,32.0,32.5,7.4,0.929,1003.0,2.2,1.98,52.6,4,0.22,198.0,198,129.0,80.0,80,80,5.0,11.0,8.0,9.0,17.0,47.8,45.8,164.8,20,20.0,62.0,-42.0,49,33,16,55,33.0,16.0,55.0,6.2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,42,0,0,19,18,0,1,42,7,4,6.0,4.0,-3,4.1,7,0,0,0,0,1055.0,892.0,763.0,687.0,538.0,508.0,47.9,44.5,166.0,148.0,40.0,36.0,41.0,45.0,47.0,46.0,88,91,538.0,476.0,277.0,363.0,145.0,132.0,57.0,53.0,0.3,2.3,2.6,2320.95,89,5.1,107.0,19.3,0.32,0.03333333333333333,0.18333333333333332,1990,32,7116779.314800001,-3.2,0.23333333333333334,2.15,1.3333333333333333,0.08333333333333333,0.18333333333333332,2.746666666666667,0.3333333333333333,1.0333333333333334,0.8166666666666667,0.55,0.26666666666666666,0.9166666666666666,0.06666666666666667,0.1,2.7666666666666666,2.466666666666667,0.6666666666666666,0.6,1255849.322387313,455849.322387313
413,925000,94-04-11,Brantford,ON,CAN,CAN,72,192,2014.0,2.0,55.0,R,Montour,Brandon,D,ANA,27,2,4,2,2,6,11,4.2,14,537,28157,469.3,17.38,17.38,31.2,31.6,7.8,0.972,1050.0,2.43,0.77,76.0,13,1.66,111.0,111,74.0,50.0,50,50,3.3,7.0,4.0,5.0,9.0,45.5,43.9,68.8,21,21.0,34.0,-13.0,24,17,3,24,17.0,3.0,24.0,5.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,23,3,0,17,4,1,0,25,7,8,7.0,7.0,1,3.6,7,0,0,0,0,481.0,430.0,360.0,336.0,243.0,214.0,26.3,19.4,101.0,62.0,19.0,6.0,19.0,17.0,29.0,22.0,48,39,217.0,180.0,174.0,173.0,77.0,43.0,32.0,29.0,0.3,2.0,2.3,1034.27,59,3.4,116.5,9.5,0.35,0.07407407407407407,0.14814814814814814,1994,28,6421458.1248,6.8,0.5185185185185185,2.740740740740741,1.8518518518518519,0.12222222222222222,0.25925925925925924,2.548148148148148,0.7777777777777778,1.2592592592592593,0.8888888888888888,0.6296296296296297,0.1111111111111111,0.8888888888888888,0.25925925925925924,0.25925925925925924,3.740740740740741,2.2962962962962963,0.7037037037037037,0.2222222222222222,895241.5985625666,-29758.401437433437
416,7500000,85-04-10,Edmonton,AB,CAN,CAN,75,219,2003.0,1.0,9.0,L,Phaneuf,Dion,D,OTT,81,9,21,10,11,30,-6,-4.9,100,2476,111982,1855.1,23.03,22.99,38.2,37.5,8.8,0.912,1000.0,2.59,2.75,48.5,-5,-0.16,310.0,310,212.0,156.0,156,156,9.1,23.0,18.0,14.0,32.0,49.6,46.4,154.1,132,132.0,86.0,46.0,56,54,16,156,54.0,16.0,156.0,8.2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,2,1,0,2,0,2,8,46,11,0,72,15,4,0,54,42,22,42.0,11.0,-20,-16.4,39,2,0,1,0,1691.0,1906.0,1256.0,1371.0,914.0,971.0,76.8,87.7,239.0,290.0,80.0,85.0,80.0,81.0,90.0,100.0,170,181,983.0,942.0,641.0,632.0,289.0,181.0,118.0,112.0,2.0,3.9,5.9,2997.11,390,3.8,116.3,24.1,0.3,0.1111111111111111,0.25925925925925924,1985,37,7947564.75,-1.0999999999999996,1.2345679012345678,2.617283950617284,1.9259259259259258,0.11234567901234567,0.2839506172839506,1.902469135802469,1.6296296296296295,1.0617283950617284,0.691358024691358,0.6666666666666666,0.19753086419753085,1.9259259259259258,0.13580246913580246,0.5185185185185185,2.950617283950617,3.580246913580247,0.9876543209876543,1.0493827160493827,5970908.959518029,-1529091.0404819706
